rank,title,artist,image,last week,peak position,weeks on chart,detail,date,weeks at no.1
1,Starboy,The Weeknd Featuring Daft Punk,https://charts-static.billboard.com/img/2016/10/the-weeknd-gvx-53x53.jpg,2,1,14,up,2017-01-07,
2,Black Beatles,Rae Sremmurd Featuring Gucci Mane,https://charts-static.billboard.com/img/2016/09/rae-sremmurd-f07-53x53.jpg,1,1,15,down,2017-01-07,
3,Closer,The Chainsmokers Featuring Halsey,https://charts-static.billboard.com/img/2016/08/the-chainsmokers-9iv-53x53.jpg,3,1,21,same,2017-01-07,
4,24K Magic,Bruno Mars,https://charts-static.billboard.com/img/2016/10/bruno-mars-va7-53x53.jpg,4,4,11,same,2017-01-07,
5,Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,Not supported yet,8,5,13,up,2017-01-07,
6,Side To Side,Ariana Grande Featuring Nicki Minaj,https://charts-static.billboard.com/img/2016/06/ariana-grande-ypy-53x53.jpg,5,4,17,down,2017-01-07,
7,Let Me Love You,DJ Snake Featuring Justin Bieber,https://charts-static.billboard.com/img/2016/08/dj-snake-ncv-53x53.jpg,9,4,20,up,2017-01-07,
8,Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,https://charts-static.billboard.com/img/2016/10/maroon-5-9st-53x53.jpg,10,7,11,up,2017-01-07,
9,Bad Things,Machine Gun Kelly x Camila Cabello,https://charts-static.billboard.com/img/2016/10/machine-gun-kelly-8m6-53x53.jpg,14,9,8,up,2017-01-07,
10,Fake Love,Drake,https://charts-static.billboard.com/img/1840/12/drake-zwl-53x53.jpg,12,10,9,up,2017-01-07,
11,Caroline,Amine,https://charts-static.billboard.com/img/2016/04/amine-2jr-53x53.jpg,16,11,16,up,2017-01-07,
12,Heathens,twenty one pilots,https://charts-static.billboard.com/img/2016/07/twenty-one-pilots-840-53x53.jpg,15,2,27,up,2017-01-07,
13,Bad And Boujee,Migos Featuring Lil Uzi Vert,https://charts-static.billboard.com/img/2016/11/migos-apk-53x53.jpg,26,13,6,up,2017-01-07,
14,Scars To Your Beautiful,Alessia Cara,https://charts-static.billboard.com/img/2016/08/alessia-cara-9x8-53x53.jpg,18,13,17,up,2017-01-07,
15,Broccoli,D.R.A.M. Featuring Lil Yachty,https://charts-static.billboard.com/img/2016/04/dram-fpd-53x53.jpg,17,5,28,up,2017-01-07,
16,All I Want For Christmas Is You,Mariah Carey,https://charts-static.billboard.com/img/1994/12/mariah-carey-tgq-53x53.jpg,20,11,18,up,2017-01-07,
17,Starving,Hailee Steinfeld & Grey Featuring Zedd,https://charts-static.billboard.com/img/2016/08/hailee-steinfeld-bg5-53x53.jpg,19,12,21,up,2017-01-07,
18,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,https://charts-static.billboard.com/img/2016/12/zayn-p59-53x53.jpg,6,6,2,down,2017-01-07,
19,OOOUUU,Young M.A,https://charts-static.billboard.com/img/2016/08/young-ma-kjf-53x53.jpg,47,19,17,up,2017-01-07,
20,Love On The Brain,Rihanna,https://charts-static.billboard.com/img/2016/02/rihanna-v3t-53x53.jpg,27,20,10,up,2017-01-07,
21,Bounce Back,Big Sean,https://charts-static.billboard.com/img/2016/11/big-sean-820-53x53.jpg,31,21,7,up,2017-01-07,
22,The Greatest,Sia Featuring Kendrick Lamar,https://charts-static.billboard.com/img/2016/09/sia-5kn-53x53.jpg,28,18,16,up,2017-01-07,
23,Hallelujah,Pentatonix,https://charts-static.billboard.com/img/2016/11/pentatonix-5l7-53x53.jpg,45,23,9,up,2017-01-07,
24,All Time Low,Jon Bellion,https://charts-static.billboard.com/img/2015/05/jon-bellion-u8c-53x53.jpg,36,24,11,up,2017-01-07,
25,I Feel It Coming,The Weeknd Featuring Daft Punk,https://charts-static.billboard.com/img/2016/12/the-weeknd-gvx-53x53.jpg,33,22,5,up,2017-01-07,
26,Treat You Better,Shawn Mendes,https://charts-static.billboard.com/img/2016/06/shawn-mendes-drf-53x53.jpg,32,6,29,up,2017-01-07,
27,Rockin' Around The Christmas Tree,Brenda Lee,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-53x53.jpg,48,14,18,up,2017-01-07,
28,Mercy,Shawn Mendes,https://charts-static.billboard.com/img/2016/09/shawn-mendes-drf-53x53.jpg,44,28,14,up,2017-01-07,
29,Jingle Bell Rock,Bobby Helms,https://charts-static.billboard.com/img/1958/12/bobby-helms-8s1-53x53.jpg,46,29,19,up,2017-01-07,
30,In The Name Of Love,Martin Garrix & Bebe Rexha,https://charts-static.billboard.com/img/2016/08/martin-garrix-bo3-53x53.jpg,35,24,19,up,2017-01-07,
31,I Hate U I Love U,gnash Featuring Olivia O'Brien,https://charts-static.billboard.com/img/2016/01/gnash-alj-53x53.jpg,25,10,36,down,2017-01-07,
32,Can't Stop The Feeling!,Justin Timberlake,https://charts-static.billboard.com/img/2016/05/justin-timberlake-wmm-53x53.jpg,39,1,33,up,2017-01-07,
33,Blue Ain't Your Color,Keith Urban,https://charts-static.billboard.com/img/2016/08/keith-urban-t54-53x53.jpg,38,24,15,up,2017-01-07,
34,Don't Let Me Down,The Chainsmokers Featuring Daya,https://charts-static.billboard.com/img/2016/02/the-chainsmokers-39n-53x53.jpg,43,3,45,up,2017-01-07,
35,Deja Vu,J. Cole,https://charts-static.billboard.com/img/2016/12/j-cole-s1s-53x53.jpg,7,7,2,down,2017-01-07,
36,Cheap Thrills,Sia Featuring Sean Paul,https://charts-static.billboard.com/img/2016/01/sia-5kn-53x53.jpg,41,1,45,up,2017-01-07,
37,This Town,Niall Horan,https://charts-static.billboard.com/img/2016/10/niall-horan-5to-53x53.jpg,50,25,13,up,2017-01-07,
38,Cold Water,Major Lazer Featuring Justin Bieber & MO,https://charts-static.billboard.com/img/2016/08/major-lazer-gnw-53x53.jpg,40,2,22,up,2017-01-07,
39,Chill Bill,Rob $tone Featuring J. Davi$ & Spooks,https://charts-static.billboard.com/img/2016/07/rob-stone-sen-53x53.jpg,49,29,21,up,2017-01-07,
40,Love Me Now,John Legend,https://charts-static.billboard.com/img/2016/10/john-legend-xtz-53x53.jpg,37,23,9,down,2017-01-07,
41,Both,Gucci Mane Featuring Drake,https://charts-static.billboard.com/img/2017/01/gucci-mane-fyx-53x53.jpg,,,,new,2017-01-07,
42,Unsteady,X Ambassadors,https://charts-static.billboard.com/img/2015/10/x-ambassadors-qav-53x53.jpg,42,20,32,same,2017-01-07,
43,X,21 Savage & Metro Boomin Featuring Future,https://charts-static.billboard.com/img/2016/08/21-savage-jjg-53x53.jpg,51,36,15,up,2017-01-07,
44,Feliz Navidad,Jose Feliciano,https://charts-static.billboard.com/img/1998/01/jose-feliciano-b5h-53x53.jpg,,,,new,2017-01-07,
45,"Mary, Did You Know?",Pentatonix,https://charts-static.billboard.com/img/2014/11/pentatonix-5l7-53x53.jpg,-,26,7,re-entry,2017-01-07,
46,A Holly Jolly Christmas,Burl Ives,https://charts-static.billboard.com/img/1998/01/burl-ives-tv0-53x53.jpg,,,,new,2017-01-07,
47,The Christmas Song (Merry Christmas To You),Nat King Cole,https://charts-static.billboard.com/img/1960/12/nat-king-cole-wkp-53x53.jpg,-,38,8,re-entry,2017-01-07,
48,It's The Most Wonderful Time Of The Year,Andy Williams,https://charts-static.billboard.com/img/2001/12/andy-williams-epf-53x53.jpg,,,,new,2017-01-07,
49,Party Monster,The Weeknd,https://charts-static.billboard.com/img/2016/12/the-weeknd-gvx-53x53.jpg,53,16,5,up,2017-01-07,
50,Last Christmas,Wham!,https://charts-static.billboard.com/img/1998/01/wham-usx-53x53.jpg,,,,new,2017-01-07,
51,Water Under The Bridge,Adele,https://charts-static.billboard.com/img/2015/12/adele-hdy-53x53.jpg,61,51,7,up,2017-01-07,
52,You Was Right,Lil Uzi Vert,https://charts-static.billboard.com/img/2016/06/lil-uzi-vert-mre-53x53.jpg,58,49,24,up,2017-01-07,
53,No Heart,21 Savage & Metro Boomin,https://charts-static.billboard.com/img/2016/08/21-savage-jjg-53x53.jpg,55,53,9,up,2017-01-07,
54,Neighbors,J. Cole,https://charts-static.billboard.com/img/2016/12/j-cole-s1s-53x53.jpg,13,13,2,down,2017-01-07,
55,Used To This,Future Featuring Drake,https://charts-static.billboard.com/img/2016/11/future-l22-53x53.jpg,64,14,7,up,2017-01-07,
56,How Far I'll Go,Auli'i Cravalho,Not supported yet,66,52,4,up,2017-01-07,
57,Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",https://charts-static.billboard.com/img/2016/08/dj-khaled-igg-53x53.jpg,60,27,20,up,2017-01-07,
58,Party,Chris Brown Featuring Usher & Gucci Mane,https://charts-static.billboard.com/img/2016/12/chris-brown-cte-53x53.jpg,,,,new,2017-01-07,
59,Immortal,J. Cole,https://charts-static.billboard.com/img/2016/12/j-cole-s1s-53x53.jpg,11,11,2,down,2017-01-07,
60,May We All,Florida Georgia Line Featuring Tim McGraw,https://charts-static.billboard.com/img/2016/08/florida-georgia-line-jau-53x53.jpg,56,30,17,down,2017-01-07,
61,Say You Won't Let Go,James Arthur,https://charts-static.billboard.com/img/2016/10/james-arthur-p5t-53x53.jpg,65,60,9,up,2017-01-07,
62,Wanna Be That Song,Brett Eldredge,https://charts-static.billboard.com/img/2015/09/brett-eldredge-jia-53x53.jpg,59,53,12,down,2017-01-07,
63,Too Much Sauce,DJ ESCO Featuring Future & Lil Uzi Vert,https://charts-static.billboard.com/img/2016/09/dj-esco-jqu-53x53.jpg,74,61,18,up,2017-01-07,
64,Better Man,Little Big Town,https://charts-static.billboard.com/img/2016/11/little-big-town-z2a-53x53.jpg,68,53,8,up,2017-01-07,
65,Chantaje,Shakira Featuring Maluma,https://charts-static.billboard.com/img/2016/11/shakira-mhe-53x53.jpg,71,65,6,up,2017-01-07,
66,Dirty Laundry,Carrie Underwood,https://charts-static.billboard.com/img/2015/11/carrie-underwood-ko6-53x53.jpg,70,66,10,up,2017-01-07,
67,1 Night,Lil Yachty,https://charts-static.billboard.com/img/2016/03/lil-yachty-mxt-53x53.jpg,73,49,20,up,2017-01-07,
68,Redbone,Childish Gambino,https://charts-static.billboard.com/img/2016/12/childish-gambino-f0k-53x53.jpg,75,48,4,up,2017-01-07,
69,Sneakin',Drake Featuring 21 Savage,https://charts-static.billboard.com/img/1840/12/drake-zwl-53x53.jpg,72,28,9,up,2017-01-07,
70,Million Reasons,Lady Gaga,https://charts-static.billboard.com/img/2016/10/lady-gaga-gyl-53x53.jpg,62,52,7,down,2017-01-07,
71,A Guy With A Girl,Blake Shelton,https://charts-static.billboard.com/img/2016/10/blake-shelton-22w-53x53.jpg,79,71,6,up,2017-01-07,
72,Just Hold On,Steve Aoki & Louis Tomlinson,https://charts-static.billboard.com/img/2016/12/steve-aoki-hkh-53x53.jpg,52,52,2,down,2017-01-07,
73,Song For Another Time,Old Dominion,https://charts-static.billboard.com/img/2016/06/old-dominion-wac-53x53.jpg,69,59,13,down,2017-01-07,
74,Pick Up The Phone,Young Thug And Travis Scott Featuring Quavo,https://charts-static.billboard.com/img/2016/06/young-thug-288-53x53.jpg,76,43,19,up,2017-01-07,
75,Make Me (Cry),Noah Cyrus Featuring Labrinth,https://charts-static.billboard.com/img/2016/12/noah-cyrus-c57-53x53.jpg,-,75,2,re-entry,2017-01-07,
76,Star Of The Show,Thomas Rhett,https://charts-static.billboard.com/img/2016/10/thomas-rhett-r0o-53x53.jpg,84,76,8,up,2017-01-07,
77,HandClap,Fitz And The Tantrums,Not supported yet,80,63,13,up,2017-01-07,
78,How I'll Always Be,Tim McGraw,https://charts-static.billboard.com/img/2016/07/tim-mcgraw-j7r-53x53.jpg,85,78,10,up,2017-01-07,
79,Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,https://charts-static.billboard.com/img/2016/11/clean-bandit-ywv-53x53.jpg,90,79,3,up,2017-01-07,
80,Alone,Marshmello,https://charts-static.billboard.com/img/2016/05/marshmello-9ph-53x53.jpg,99,80,4,up,2017-01-07,
81,How Far I'll Go,Alessia Cara,https://charts-static.billboard.com/img/2016/11/alessia-cara-9x8-53x53.jpg,94,81,3,up,2017-01-07,
82,All We Know,The Chainsmokers Featuring Phoebe Ryan,https://charts-static.billboard.com/img/2016/10/the-chainsmokers-39n-53x53.jpg,95,18,12,up,2017-01-07,
83,Change,J. Cole,https://charts-static.billboard.com/img/2016/12/j-cole-s1s-53x53.jpg,21,21,2,down,2017-01-07,
